Machines, Prediction Cost, Optimal Cost, Diff
       2,          105.06,        83.25, 21.810000000000002
       3,          108.89,        73.11, 35.78
       4,           99.92,        63.99, 35.93
       5,           38.01,        20.76, 17.249999999999996
       6,          121.51,        83.46, 38.05000000000001
       7,           79.28,        46.4 , 32.88
       8,           80.75,        63.47, 17.28
       9,           61.85,        35.42, 26.43
      10,           88.87,        76.29, 12.579999999999998
      11,           48.73,        38.16, 10.57
      12,           45.26,        31.38, 13.879999999999999
      13,           41.47,        32.37,  9.100000000000001
      14,           80.3 ,        58.29, 22.009999999999998
      15,           19.97,        15.72,  4.249999999999998
      16,          105.4 ,        65.73, 39.67
      17,           32.87,        27.46,  5.409999999999997
      18,            8.02,         7.09,  0.9299999999999997
      19,           34.37,        21.45, 12.919999999999998
      20,          180.98,       161.53, 19.44999999999999
      21,           15.68,         8.55,  7.129999999999999
      22,           45.81,        36.52,  9.29
      23,          119.92,       104.52, 15.400000000000006
      24,            9.99,         7.21,  2.7800000000000002
      25,          331.77,       327.36,  4.409999999999968
      26,           54.46,        44.1 , 10.36
      27,           46.26,        39.29,  6.969999999999999
      28,           64.85,        55.12,  9.729999999999997
      29,           75.41,        64.12, 11.289999999999992
      30,          150.93,       142.41,  8.52000000000001
      31,           36.11,        24.64, 11.469999999999999
      32,           34.99,        27.57,  7.420000000000002
      33,           15.31,         7.93,  7.380000000000001
      34,           50.6 ,        40.98,  9.620000000000005
      35,           16.79,        11.65,  5.139999999999999
      36,           39.72,        33.16,  6.560000000000002
      37,           60.5 ,        51.67,  8.829999999999998
      38,           21.9 ,        13.57,  8.329999999999998
      39,           52.52,        28.38, 24.140000000000004
      40,           45.02,        41.87,  3.1500000000000057
      41,           44.87,        37.54,  7.329999999999998
      42,           18.06,        12.74,  5.3199999999999985
      43,            9.72,         7.18,  2.540000000000001
      44,           64.27,        54.66,  9.61
      45,           34.87,        26.96,  7.909999999999997
      46,           57.44,        49.55,  7.890000000000001
      47,           35.87,        32.56,  3.309999999999995
      48,           52.61,        45.97,  6.640000000000001
      49,           55.36,        35.31, 20.049999999999997
      50,           13.43,        11.07,  2.3599999999999994
      51,           87.56,        41.93, 45.63
      52,           50.01,        45.53,  4.479999999999997
      53,           53.55,        33.74, 19.809999999999995
      54,           10.05,         8.98,  1.0700000000000003
      55,           93.98,        79.97, 14.010000000000005
      56,           97.84,        91.33,  6.510000000000005
      57,           75.78,        39.08, 36.7
      58,           49.7 ,        47.77,  1.9299999999999997
      59,          127.06,       120.51,  6.549999999999997
      60,           95.65,        85.34, 10.310000000000002
      61,           98.65,        79.35, 19.30000000000001
      62,           48.21,        42.37,  5.840000000000003
      63,           80.82,        72.73,  8.08999999999999
      64,           11.01,         8.99,  2.0199999999999996
      65,           33.24,        24.57,  8.670000000000002
      66,           13.74,        10.34,  3.4000000000000004
      67,           37.47,        32.26,  5.210000000000001
      68,           20.29,        17.37,  2.919999999999998
      69,           25.23,        23.66,  1.5700000000000003
      70,           44.83,        41.21,  3.6199999999999974
      71,           11.17,         7.94,  3.2299999999999995
      72,           56.69,        48.74,  7.949999999999996
      73,           32.38,        30.01,  2.370000000000001
      74,           11.33,        10.17,  1.1600000000000001
      75,           95.38,        82.37, 13.009999999999991
      76,           47.24,        32.09, 15.149999999999999
      77,           61.74,        58.22,  3.520000000000003
      78,           15.01,        12.95,  2.0600000000000005
      79,           32.23,        29.55,  2.679999999999996
      80,            9.4 ,         7.3 ,  2.1000000000000005
      81,           49.11,        42.83,  6.280000000000001
      82,            3.29,         2.76,  0.5300000000000002
      83,           54.6 ,        47.44,  7.160000000000004
      84,           37.49,        34.27,  3.219999999999999
      85,           45.8 ,        39.46,  6.339999999999996
      86,           62.36,        57.49,  4.869999999999997
      87,           63.18,        55.73,  7.450000000000003
      88,           81.18,        76.67,  4.510000000000005
      89,           40.78,        33.14,  7.640000000000001
      90,           18.6 ,        14.86,  3.740000000000002
      91,           27.22,        22.81,  4.41
      92,           30.63,        23.23,  7.399999999999999
      93,           81.84,        71.6 , 10.240000000000009
      94,           45.71,        41.11,  4.600000000000001
      95,          299.86,       289.43, 10.430000000000007
      96,           73.48,        63.1 , 10.380000000000003
      97,           57.92,        49.42,  8.5
      98,           53.49,        51.07,  2.4200000000000017
      99,           45.14,        37.65,  7.490000000000002
     100,           87.5 ,        46.67, 40.83
